정류소명,정류소ID,승차건수(총합계),하차건수(총합계),승차건수(카드),하차건수(카드),승차건수(현금),일평균 승하차건수
(구)국제여객터미널,35051,95,1923,21,1923,74,67
(구)국제여객터미널,---,2512,43,2465,43,47,85
(주)경동세라믹스,89146,341,26,335,26,6,12
(주)경인양행앞,42096,945,923,938,923,7,62
(주)경인양행앞,42097,1322,3536,1294,3536,28,161
(주)대한특수금속,39050,1243,89,1238,89,5,44
(주)두남,39135,147,29,147,29,0,5
(주)세모입구(린나이코리아),37585,1410,1517,1404,1517,6,97
(주)세모입구(린나이코리아),40893,307,556,304,556,3,28
(주)스킨이데아,89388,147,148,147,148,0,9
(주)스킨이데아,89389,628,6,620,6,8,21
(주)씨피엔텍,39133,519,3415,510,3415,9,131
(주)씨피엔텍,39134,2308,439,2297,439,11,91
(주)창원,39029,3624,3208,3601,3208,23,227
(주)창원,39030,4312,3590,4295,3590,17,263
(주)하나금속,39124,3,17,3,17,0,0
17사단.다임메가타운,40895,1882,4284,1853,4284,29,205
17사단입구,40832,24,603,11,603,13,20
2001아울렛,40154,3405,5611,3358,5611,47,300
2001아울렛,40159,30959,13650,30529,13650,430,1486
2001아울렛,40162,11254,21820,11008,21820,246,1102
2001아울렛부평점,40158,5025,2011,4866,2011,159,234
2차풍림아이원,42584,42,12667,30,12667,12,423
3단지,40736,387,1893,357,1893,30,76
3단지관리사무소,40107,2056,573,2032,573,24,87
41번구종점,42174,1978,6131,1946,6131,32,270
510번차고지,36145,835,228,822,228,13,35
540번종점,39470,3694,32,3638,32,56,124
6공단사거리,37577,435,2502,424,2502,11,97
6공단입구,37442,636,1024,620,1024,16,55
6공단입구,37443,1317,1710,1273,1710,44,100
8부두,35181,261,2770,207,2770,54,101
8부두,35182,1615,2215,1556,2215,59,127
CJ인천2공장,35591,254,3156,250,3156,4,113
CJ인천2공장,35592,2489,103,2485,103,4,86
E편한세상,42453,3525,2584,3454,2584,71,203
E편한세상,42649,1334,2347,1312,2347,22,122
E편한세상,42726,2660,1365,2611,1365,49,134
GM물류센터,40568,447,1356,438,1356,9,60
GS25편의점,36142,952,2056,912,2056,40,100
GS내리주유소,44147,1,1,1,1,0,0
GS칼텍스,35168,623,87,597,87,26,23
GS칼텍스,35557,8,2427,6,2427,2,81
GS칼텍스,89220,53,142,53,142,0,6
